Desc_UI    Descriptor Counts
D011247    Pregnancy: 3
D011237    Predictive Value of Tests: 3
D011223    Praziquantel: 3
D011201    Poultry Diseases: 3
D011018    Pneumonia, Pneumococcal: 3
D010360    Patient Transfer: 3
D009548    Niger: 3
D009500    Neutralization Tests: 3
D008966    Moldova: 3
D008397    Masks: 3
D008396    Maryland: 3
D008390    Markov Chains: 3
D008253    Macaca mulatta: 3
D007902    Length of Stay: 3
D007722    Health Knowledge, Attitudes, Practice: 3
D007391    International Cooperation: 3
D007362    Intensive Care Units: 3
D007299    Insect Bites and Stings: 3
D007249    Inflammation: 3
D007156    Immunologic Memory: 3
D006295    Health Resources: 3
D006282    Health Personnel: 3
D006193    Haemophilus influenzae: 3
D005798    Genes, Bacterial: 3
D005243    Feces: 3
D005192    Family Health: 3
D004927    Escherichia coli Infections: 3
D004522    Educational Status: 3
D004359    Drug Therapy, Combination: 3
D004197    Disease Reservoirs: 3
D003955    Diagnostic Tests, Routine: 3
D003713    Dendritic Cells: 3
D003015    Clostridium Infections: 3
D002986    Clinical Trials as Topic: 3
D002980    Climate: 3
D002710    Chlorhexidine: 3
D002487    Centers for Disease Control and Prevention (U.S.): 3
D001741    African Americans: 3
D001717    Birds: 3
D001459    Bangladesh: 3
D001210    Asia, Southeastern: 3
D000942    Antigens, Bacterial: 3
D000835    Animals, Wild: 3
D000822    Animal Husbandry: 3
D000046    Academic Medical Centers: 3
D065288    Serogroup: 2
D064887    Observational Studies as Topic: 2
D062206    Spatial Analysis: 2
D059765    Homologous Recombination: 2
D058974    Phylogeography: 2
D058889    Molecular Typing: 2
D058885    Multilocus Sequence Typing: 2
D058751    Livestock: 2
D058345    Asymptomatic Infections: 2
D057566    Self Report: 2
D057148    Insecticide-Treated Bednets: 2
D057147    Mosquito Nets: 2
D056738    Cross Protection: 2
D055985    Latent Tuberculosis: 2
D055641    Mathematical Concepts: 2
D055552    Infectious Disease Medicine: 2
D054624    Health Status Disparities: 2
D054323    Shiga-Toxigenic Escherichia coli: 2
D054316    Biomarkers, Pharmacological: 2
D053263    Gene Regulatory Networks: 2
D049490    Systems Biology: 2
D045473    SARS Virus: 2
D044966    Anti-Retroviral Agents: 2
D044465    European Continental Ancestry Group: 2
D041981    Gastrointestinal Tract: 2
D040981    Acinetobacter baumannii: 2
D040841    Resource Allocation: 2
D037521    Virulence Factors: 2
D036781    Fimbriae Proteins: 2
D033181    Information Dissemination: 2
D032984    Ethics, Research: 2
D032521    Immunity, Herd: 2
D030801    Animals, Genetically Modified: 2
D030541    Databases, Genetic: 2
D029524    Influenzavirus B: 2
D025202    Molecular Diagnostic Techniques: 2
D025041    Animal Migration: 2
D023241    Antiretroviral Therapy, Highly Active: 2
D023061    Gene Order: 2
D020071    Interspersed Repetitive Sequences: 2
D019538    Health Care Surveys: 2
D019476    Insect Proteins: 2
D019371    Topography, Medical: 2
D019370    Observation: 2
D019352    Censuses: 2
D019317    Evidence-Based Medicine: 2
D019277    Entropy: 2
D018890    Chemoprevention: 2
D018740    Genetic Heterogeneity: 2
D018598    Minisatellite Repeats: 2
D018445    Infectious Disease Transmission, Vertical: 2
D018401    Sample Size: 2
D017711    Nonlinear Dynamics: 2
D017598    Efficiency, Organizational: 2
D017434    Protein Structure, Tertiary: 2
D017250    Caliciviridae Infections: 2
D017211    Treatment Failure: 2
D017146    Models, Organizational: 2
D016915    AIDS Vaccines: 2
D016908    Gram-Positive Bacterial Infections: 2
D016667    Bacterial Capsules: 2
D016527    Drug Costs: 2
D016273    Occupational Exposure: 2
D016207    Cytokines: 2
D016133    Polymerase Chain Reaction: 2
D016016    Proportional Hazards Models: 2
D016001    Confidence Intervals: 2
D015986    Confounding Factors (Epidemiology): 2
D015983    Selection Bias: 2
D015870    Gene Expression: 2
D015496    CD4-Positive T-Lymphocytes: 2
D015024    Zambia: 2
D014887    Weather: 2
D014881    Water Supply: 2
D014780    Viruses: 2
D014766    Viremia: 2
D014495    Universities: 2
D014435    Typhoid Fever: 2
D014370    Tsetse Flies: 2
D014353    Trypanosomiasis, African: 2
D013559    Symbiosis: 2
D013553    Swine Diseases: 2
D013530    Surgical Wound Infection: 2
D013212    Staphylococcus epidermidis: 2
D013207    Staphylococcal Skin Infections: 2
D013171    Spores, Bacterial: 2
D012944    Social Support: 2
D012931    Social Environment: 2
D012760    Shigella: 2
D012756    Sheep: 2
D012623    Seawater: 2
D012572    School Health Services: 2
D012463    Saliva: 2
D012423    Rural Health: 2
D012400    Rotavirus Infections: 2
D012282    Rickettsia Infections: 2
D012136    Respiratory Syncytial Viruses: 2
D012044    Regression Analysis: 2
D011819    Rabies Vaccines: 2
D011818    Rabies: 2
D011330    Prisons: 2
D011300    Preoperative Care: 2
D011203    Poverty: 2
D011051    Poliomyelitis: 2
D011050    Policy Making: 2
D010961    Plasmodium: 2
D010948    Viral Plaque Assay: 2
D010919    Placebos: 2
D010818    Practice Patterns, Physicians': 2
D010614    Pharynx: 2
D010567    Pertussis Vaccine: 2
D010342    Patient Acceptance of Health Care: 2
D010270    Parasite Egg Count: 2
D009937    Organizational Objectives: 2
D009765    Obesity: 2
D009666    Nose: 2
D009426    Netherlands: 2
D009369    Neoplasms: 2
D008831    Microcephaly: 2
D008807    Mice, Inbred BALB C: 2
D008800    Mexico: 2
D008458    Measles Vaccine: 2
D008404    Massachusetts: 2
D008198    Lymph Nodes: 2
D008193    Lyme Disease: 2
D008168    Lung: 2
D007422    Intestines: 2
D007398    Interpersonal Relations: 2
D007198    Indians, North American: 2
D007111    Immunity, Cellular: 2
D007074    Immunoglobulin G: 2
D006813    Humidity: 2
D006706    Homeostasis: 2
D006679    HIV Seropositivity: 2
D006526    Hepatitis C: 2
D006388    Hemagglutinins: 2
D006304    Health Status: 2
D006302    Health Services Research: 2
D006301    Health Services Needs and Demand: 2
D006235    Hand Disinfection: 2
D005818    Genetic Engineering: 2
D005810    Multigene Family: 2
D005800    Genes, Fungal: 2
D005716    Game Theory: 2
D005517    Foodborne Diseases: 2
D005239    Fear: 2
D005190    Family: 2
D005002    Ethiopia: 2
D004917    Erythromycin: 2
D004912    Erythrocytes: 2
D004847    Epithelial Cells: 2
D004813    Epidemiology: 2
D004797    Enzyme-Linked Immunosorbent Assay: 2
D004781    Environmental Exposure: 2
D004777    Environment: 2
D004770    Enterovirus: 2
D004755    Enterobacteriaceae: 2
D004641    Emigration and Immigration: 2
D004526    Efficiency: 2
D004405    Dysentery, Bacillary: 2
D004372    Ducks: 2
D004356    Drug Storage: 2
D004351    Drug Resistance: 2
D004283    Dog Diseases: 2
D004219    District of Columbia: 2
D003967    Diarrhea: 2
D003657    Decision Making: 2
D003429    Cross Reactions: 2
D003062    Codon: 2
D002939    Ciprofloxacin: 2
D002908    Chronic Disease: 2
D002874    Chromosome Mapping: 2
D002690    Chlamydia Infections: 2
D002646    Chikungunya virus: 2
D001902    Botswana: 2
D001699    Biometry: 2
D001519    Behavior: 2
D001428    Bacterial Vaccines: 2
D001425    Bacterial Outer Membrane Proteins: 2
D001408    Bacillus anthracis: 2
D001118    Argentina: 2
D000953    Antigens, Protozoan: 2
D000941    Antigens: 2
D000829    Animals, Domestic: 2
D000704    Analysis of Variance: 2
D000383    Agriculture: 2
D000349    Africa: 2
D000294    Adolescent Behavior: 2
D000222    Adaptation, Physiological: 2
D000208    Acute Disease: 2
D000151    Acinetobacter Infections: 2
D000071244    Zika Virus: 2
D000071243    Zika Virus Infection: 2
D066027    Transplant Recipients: 1
D064704    Levofloxacin: 1
D064349    Genome, Microbial: 1
D064307    Microbiota: 1
D064166    Vaccine Potency: 1
D063426    Human Migration: 1
D063373    Hand Hygiene: 1
D061665    Time-to-Treatment: 1
D061067    Antibodies, Monoclonal, Humanized: 1
D060766    Drinking Water: 1
D060435    Carnivory: 1
D060434    Herbivory: 1
D060386    Sex Workers: 1
D060152    V(D)J Recombination: 1
D059645    Mutation Rate: 1
D059000    El Nino-Southern Oscillation: 1
D058507    Host Specificity: 1
D058260    Xenopsylla: 1
D058251    Ctenocephalides: 1
D058016    Health Facility Administration: 1
D057766    Policy: 1
D057286    Electronic Health Records: 1
D057231    Climate Change: 1
D057221    Influenza A Virus, H1N2 Subtype: 1
D057210    Delayed Diagnosis: 1
D057170    Translational Medical Research: 1
D057131    Immune Evasion: 1
D056910    Republic of Korea: 1
D056808    Biostatistics: 1
D056726    Genetic Association Studies: 1
D056724    Immunity, Humoral: 1
D056426    Genetic Loci: 1
D056186    Metagenomics: 1
D055877    Biosurveillance: 1
D055810    Lot Quality Assurance Sampling: 1
D055808    Drug Discovery: 1
D055786    Gene Knockout Techniques: 1
D055691    Ecological and Environmental Processes: 1
D055502    Secondary Prevention: 1
D055355    Opsins: 1
D055118    Medication Adherence: 1
D054892    Metagenome: 1
D054524    Medicare Part D: 1
D054357    Chemokine CXCL10: 1
D054332    Leishmaniasis Vaccines: 1
D054302    pol Gene Products, Human Immunodeficiency Virus: 1
D054299    env Gene Products, Human Immunodeficiency Virus: 1
D054242    Emigrants and Immigrants: 1
D053858    Metabolic Networks and Pathways: 1
D053476    Extinction, Biological: 1
D053243    Zanamivir: 1
D053125    Influenza A Virus, H5N2 Subtype: 1
D052586    Mating Preference, Animal: 1
D051996    Transcription Factor RelA: 1
D051193    Toll-Like Receptors: 1
D050839    Interferon Regulatory Factor-7: 1
D050838    Interferon Regulatory Factor-3: 1
D050378    T-Lymphocytes, Regulatory: 1
D050296    Microbial Viability: 1
D050172    Genes, X-Linked: 1
D049832    Decapodiformes: 1
D049810    Genetic Speciation: 1
D049672    History, 19th Century: 1
D048908    Aliivibrio fischeri: 1
D048788    Growth and Development: 1
D047495    PPAR gamma: 1
D046915    Penicillin-Binding Proteins: 1
D045908    Monkeypox: 1
D045424    Complex Mixtures: 1
D044822    Biodiversity: 1
D044127    Epigenesis, Genetic: 1
D041241    Vibrio cholerae O1: 1
D041161    Rickettsia felis: 1
D040961    Genetic Drift: 1
D040941    Heredity: 1
D040681    Structural Homology, Protein: 1
D040582    Inheritance Patterns: 1
D038801    International Classification of Diseases: 1
D036301    Qualitative Research: 1
D036022    Capsid Proteins: 1
D035846    Law Enforcement: 1
D035842    Research Subjects: 1
D033183    Interdisciplinary Communication: 1
D030361    Papillomavirus Infections: 1
D029544    Foot-and-Mouth Disease Virus: 1
D029521    Influenzavirus A: 1
D028981    Bornaviridae: 1
D028681    Moral Obligations: 1
D026801    Synteny: 1
D025341    Principal Component Analysis: 1
D023801    Directly Observed Therapy: 1
D022781    Hepatocytes: 1
D022681    Diphtheria-Tetanus-acellular Pertussis Vaccines: 1
D022661    RNA, Untranslated: 1
D022542    Measles-Mumps-Rubella Vaccine: 1
D021261    Parasitic Sensitivity Tests: 1
D020713    Vancomycin Resistance: 1
D020682    Cefixime: 1
D020563    Gammaproteobacteria: 1
D020387    Food Chain: 1
D020380    Needs Assessment: 1
D020224    Expressed Sequence Tags: 1
D019999    Pharmaceutical Solutions: 1
D019984    Quality Indicators, Health Care: 1
D019982    Organizational Case Studies: 1
D019943    Amino Acid Substitution: 1
D019840    2-Propanol: 1
D019637    Orthopedic Procedures: 1
D019636    Neurodegenerative Diseases: 1
D019595    Severe Dengue: 1
D019587    Dietary Supplements: 1
D019548    Crime Victims: 1
D019529    Sexuality: 1
D019458    Insurance Coverage: 1
D019433    Chickenpox Vaccine: 1
D019411    Clinical Laboratory Techniques: 1
D019368    Nature: 1
D019233    Retreatment: 1
D019138    Antibodies, Blocking: 1
D019090    Case Management: 1
D019076    Transgenes: 1
D019072    Antibiotic Prophylaxis: 1
D019070    Cell Lineage: 1
D019067    Antibody-Dependent Enhancement: 1
D019037    Urban Health Services: 1
D019033    Delivery of Health Care, Integrated: 1
D019008    Drug Resistance, Neoplasm: 1
D018985    Epitopes, B-Lymphocyte: 1
D018984    Epitopes, T-Lymphocyte: 1
D018942    Macrolides: 1
D018928    Immunity, Mucosal: 1
D018895    Microsatellite Repeats: 1
D018829    Adhesins, Bacterial: 1
D018805    Sepsis: 1
D018791    CD4 Lymphocyte Count: 1
D018672    Community Health Planning: 1
D018655    Lymphocyte Count: 1
D018579    Patient Selection: 1
D018550    Cephalosporin Resistance: 1
D018508    Water Purification: 1
D018419    Primate Diseases: 1
D018414    CD8-Positive T-Lymphocytes: 1
D018345    Mice, Knockout: 1
D018113    Respiratory Syncytial Virus, Human: 1
D018103    Morbillivirus: 1
D018074    Vaccines, Conjugate: 1
D017993    Parvovirus, Canine: 1
D017931    DNA Primers: 1
D017751    Safety Management: 1
D017741    Survivors: 1
D017735    Virus Latency: 1
D017678    Sex Distribution: 1
D017668    Age of Onset: 1
D017592    Skin Care: 1
D017534    Radial Artery: 1
D017507    Comoros: 1
D017433    Protein Structure, Secondary: 1
D017421    Sequence Analysis: 1
D017410    Practice Guidelines as Topic: 1
D017386    Sequence Homology, Amino Acid: 1
D017385    Sequence Homology: 1
D017382    Reactive Oxygen Species: 1
D017353    Gene Deletion: 1
D017322    Clinical Trials, Phase II as Topic: 1
D017320    HIV Protease Inhibitors: 1
D017282    Tick-Borne Diseases: 1
D017280    Condoms: 1
D017150    Public Sector: 1
D017143    Fuzzy Logic: 1
D017132    Workplace: 1
D017125    Genes, Protozoan: 1
D017062    Small-Area Analysis: 1
D017059    Models, Econometric: 1
D017052    Hospital Mortality: 1
D017046    Cost Savings: 1
D017028    Caregivers: 1
D017023    Coronary Angiography: 1
D016984    Enterococcus faecium: 1
D016983    Enterococcus: 1
D016922    Cell Aging: 1
D016902    Air Pollution, Indoor: 1
D016867    Immunocompromised Host: 1
D016865    Reassortant Viruses: 1
D016790    Plasmodium knowlesi: 1
D016788    Plasmodium chabaudi: 1
D016773    Leishmaniasis, Cutaneous: 1
D016712    Mupirocin: 1
D016681    Genome, Fungal: 1
D016678    Genome: 1
D016656    Family Planning Policy: 1
D016601    RNA-Binding Proteins: 1
D016521    Electrophoresis, Gel, Pulsed-Field: 1
D016353    Self-Examination: 1
D016347    Medical Records Systems, Computerized: 1
D016266    Food Parasitology: 1
D016265    Conflict of Interest: 1
D016247    Information Storage and Retrieval: 1
D016233    Immunotherapy, Active: 1
D016206    Databases, Bibliographic: 1
D016174    Hepacivirus: 1
D016052    Protozoan Vaccines: 1
D016040    Lung Transplantation: 1
D016027    Heart Transplantation: 1
D016021    Epidemiologic Studies: 1
D016018    Least-Squares Analysis: 1
D016010    Binomial Distribution: 1
D015980    Public Health Practice: 1
D015906    Angioplasty, Balloon, Coronary: 1
D015818    Eye Infections, Bacterial: 1
D015748    Borrelia burgdorferi Group: 1
D015721    Diphtheria-Tetanus-Pertussis Vaccine: 1
D015588    Observer Variation: 1
D015483    HIV Antibodies: 1
D015415    Biomarkers: 1
D015398    Signal Transduction: 1
D015363    Quinolones: 1
D015322    Gene Rearrangement, B-Lymphocyte: 1
D015276    Health Care Rationing: 1
D015229    Sexually Transmitted Diseases, Viral: 1
D015212    Inflammatory Bowel Diseases: 1
D015146    Midwestern United States: 1
D015143    Philadelphia: 1
D015023    Democratic Republic of the Congo: 1
D014919    Wind: 1
D014901    West Nile Fever: 1
D014867    Water: 1
D014861    Washington: 1
D014852    Wales: 1
D014807    Vitamin D: 1
D014781    Viscera: 1
D014768    Virginia: 1
D014764    Viral Proteins: 1
D014763    Viral Matrix Proteins: 1
D014758    Viral Core Proteins: 1
D014733    Vibrio: 1
D014691    Ventilation: 1
D014687    Venezuela: 1
D014640    Vancomycin: 1
D014584    User-Computer Interface: 1
D014504    Urban Health: 1
D014480    United Nations: 1
D014455    Ukraine: 1
D014436    Typhoid-Paratyphoid Vaccines: 1
D014380    Tuberculosis, Bovine: 1
D014374    Tuberculin Test: 1
D014349    Trypanosoma cruzi: 1
D014346    Trypanosoma brucei brucei: 1
D014342    Truth Disclosure: 1
D014329    Tropical Climate: 1
D014218    Triage: 1
D014123    Toxoplasmosis: 1
D013995    Time: 1
D013987    Ticks: 1
D013950    Thymus Gland: 1
D013850    Thinking: 1
D013782    Textbooks as Topic: 1
D013598    Systems Theory: 1
D013597    Systems Analysis: 1
D013577    Syndrome: 1
D013315    Stress, Psychological: 1
D013301    Streptolysins: 1
D013297    Streptococcus pyogenes: 1
D013293    Enterococcus faecalis: 1
D013223    Statistics as Topic: 1
D013209    Staphylococcal Vaccines: 1
D013020    South America: 1
D012988    Soil Microbiology: 1
D012987    Soil: 1
D012923    Social Class: 1
D012907    Smoking: 1
D012903    Smell: 1
D012846    Singapore: 1
D012757    Sheep Diseases: 1
D012727    Sex Characteristics: 1
D012651    Self Medication: 1
D012648    Self Care: 1
